frame,ID,centroidX,centroidY,frontX,frontY,1cm,check,score
29,13,992.0,1346.5,1012.0,1357.0,100,NA,NA
29,27,811.0,1582.75,807.0,1598.0,100,NA,NA
29,40,936.25,1681.25,952.5,1674.0,X,NA,NA
30,40,936.0,1679.25,920.5,1663.0,X,NA,NA
30,13,979.0,1336.75,993.5,1348.0,100,NA,NA
30,43,2160.0,1173.75,2141.5,1187.5,100,NA,NA
30,27,810.75,1589.75,807.5,1604.5,100,NA,NA
31,40,937.5,1677.5,920.5,1661.0,X,NA,NA
31,43,2159.0,1179.0,2177.0,1164.0,X,NA,X
31,27,811.25,1587.0,808.0,1602.5,100,NA,NA
32,40,946.0,1677.0,930.0,1660.5,X,NA,NA
32,43,2158.75,1178.75,2177.0,1164.0,X,NA,NA
32,27,818.75,1581.0,813.5,1598.0,100,NA,NA
33,27,831.5,1594.25,822.5,1609.0,100,NA,NA
33,35,531.25,1480.5,536.0,1462.5,X,NA,NA
33,40,934.75,1673.25,919.5,1658.0,X,NA,NA
33,43,2153.75,1179.5,2171.5,1164.5,X,NA,NA
34,35,524.0,1479.0,523.0,1467.0,X,NA,X
34,40,928.5,1678.75,963.0,1661.5,X,NA,NA
34,43,2150.0,1180.75,2165.5,1189.0,X,NA,NA
34,27,837.25,1603.5,825.5,1617.0,100,NA,NA
35,35,517.0,1478.0,510.0,1471.0,X,NA,X
35,43,2140.0,1184.0,2122.0,1199.0,X,NA,X
35,40,918.75,1666.5,903.0,1654.5,X,NA,NA
35,27,843.0,1607.0,830.0,1621.0,100,NA,NA
36,35,510.0,1477.0,498.0,1476.0,X,NA,X
36,43,2139.75,1184.25,2122.5,1199.0,100,NA,NA
36,40,916.0,1665.0,930.5,1677.5,X,NA,NA
36,27,841.0,1608.75,827.5,1622.5,100,NA,NA
37,40,935.5,1655.5,920.5,1641.5,X,NA,NA
37,35,503.0,1476.0,485.0,1480.0,X,NA,X
37,27,834.75,1610.75,847.5,1599.0,X,NA,NA
37,43,2136.75,1184.0,2118.0,1199.0,100,NA,NA
38,27,824.25,1603.25,811.0,1610.5,100,NA,NA
38,35,503.0,1476.25,485.0,1480.0,100,NA,NA
38,40,932.5,1655.5,949.0,1645.5,X,NA,NA
38,43,2133.75,1186.0,2115.5,1201.5,100,NA,NA
39,35,476.5,1395.75,459.0,1390.0,100,NA,NA
39,43,2131.75,1187.5,2147.5,1194.5,X,NA,NA
39,27,813.25,1602.5,801.5,1606.5,100,NA,NA
39,40,929.0,1649.0,946.0,1660.0,X,NA,NA
40,40,926.5,1644.0,945.0,1633.0,X,NA,NA
40,27,802.5,1589.25,791.5,1593.0,100,NA,NA
40,35,460.5,1338.75,450.0,1325.5,100,NA,NA
40,43,2131.0,1187.5,2114.5,1203.5,100,NA,NA
41,27,796.5,1583.0,787.0,1586.5,100,NA,NA
41,35,472.25,1352.0,454.0,1345.5,100,NA,NA
41,40,932.5,1648.25,946.5,1630.5,X,NA,NA
41,43,2128.25,1187.75,2143.0,1194.5,X,NA,NA
42,40,931.25,1645.75,946.0,1628.0,X,NA,NA
42,43,2126.0,1185.0,2140.0,1191.0,X,NA,NA
42,27,801.25,1593.25,785.0,1577.0,X,NA,NA
43,27,802.25,1589.25,788.5,1591.5,100,NA,NA
43,43,2127.25,1183.75,2141.5,1192.5,X,NA,NA
43,40,917.25,1635.0,931.5,1617.0,X,NA,NA
44,27,801.25,1578.75,789.5,1559.5,X,NA,NA
44,43,2127.25,1187.5,2142.0,1196.0,X,NA,NA
44,40,933.0,1644.0,952.0,1628.0,X,NA,X
45,35,299.0,1466.25,275.5,1469.5,100,NA,NA
45,40,933.25,1643.5,951.5,1628.5,X,NA,NA
45,27,791.0,1560.0,782.0,1541.0,X,NA,NA
45,43,2128.25,1190.5,2143.0,1196.5,X,NA,NA
46,35,300.0,1469.0,290.0,1456.0,X,NA,X
46,43,2121.75,1191.0,2106.0,1208.5,100,NA,NA
46,40,942.75,1647.25,963.5,1633.5,X,NA,NA
47,43,2127.0,1189.0,2142.0,1195.0,X,NA,X
47,35,300.0,1472.0,306.0,1443.0,X,NA,X
48,43,2126.75,1189.0,2142.0,1195.0,X,NA,NA
48,35,300.0,1475.0,320.0,1430.0,X,NA,X
49,43,2118.0,1194.0,2133.0,1202.0,X,NA,X
49,35,300.5,1475.25,320.5,1429.5,X,NA,NA
50,43,2118.5,1194.25,2133.0,1202.0,X,NA,NA
50,35,242.25,1679.25,233.5,1695.5,100,NA,NA
51,43,2116.0,1196.0,2131.0,1203.0,X,NA,X
51,40,1049.0,1725.5,1061.5,1728.5,100,NA,NA
52,40,1060.75,1741.5,1072.5,1739.5,X,NA,NA
52,43,2114.0,1199.0,2129.0,1204.0,X,NA,X
53,40,1066.75,1744.0,1079.5,1744.5,100,NA,NA
53,43,2113.5,1198.75,2129.0,1204.0,X,NA,NA
54,40,1076.75,1742.75,1084.5,1737.5,X,NA,NA
54,43,2139.5,1171.25,2125.5,1187.0,100,NA,NA
55,40,1080.0,1740.0,1088.0,1735.0,X,NA,X
